2004 Federal Election Polling Places [12246 8/11/2005 11:10:53 PM]
State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostCode
ACT,101,Canberra,11877,1,Bonython,Bonython Primary School,Hurtle Ave,,,BONYTHON,ACT,2905
ACT,101,Canberra,11452,1,Calwell,Calwell High School,Casey Cres,,,CALWELL,ACT,2905
ACT,101,Canberra,8794,1,Canberra Hospital,The Canberra Hospital,Blding 2 Level 3 Yamba Dr,,,GARRAN,ACT,2605
ACT,101,Canberra,8761,1,Chapman,Chapman Primary School,Perry Dr,,,CHAPMAN,ACT,2611
ACT,101,Canberra,8762,1,Chifley,Melrose Primary School,MacLaurin Cres,,,CHIFLEY,ACT,2606
ACT,101,Canberra,8763,1,Chisholm,Chisholm Primary School,Hambidge Cres,,,CHISHOLM,ACT,2905
ACT,101,Canberra,31298,1,Conder,Charles Conder Primary School,Tom Roberts Ave,,,CONDER,ACT,2906
ACT,101,Canberra,8764,1,Curtin,Curtin Primary School,Theodore St,,,CURTIN,ACT,2605
ACT,101,Canberra,8766,1,Deakin,CGGS Junior School,Grey St,,,DEAKIN,ACT,2600
ACT,101,Canberra,8767,1,Duffy,Duffy Primary School,Burrinjuck Cres,,,DUFFY,ACT,2611
ACT,101,Canberra,8768,1,Fadden,Fadden Primary School,Hanlon Cres,,,FADDEN,ACT,2904
ACT,101,Canberra,8769,1,Farrer,Farrer Primary School,Lambrigg St,,,FARRER,ACT,2607
ACT,101,Canberra,8771,1,Gilmore,Gilmore Primary School,Heagney Cres,,,GILMORE,ACT,2905
ACT,101,Canberra,12072,1,Gordon,Gordon Primary School,Knoke St,,,GORDON,ACT,2906
ACT,101,Canberra,8772,1,Gowrie,Gowrie Primary School,Jeffries St,,,GOWRIE,ACT,2904
ACT,101,Canberra,8773,1,Holder,St Judes Primary School,Mulley St,,,HOLDER,ACT,2611
ACT,101,Canberra,8774,1,Hughes,Hughes Primary School,Kent St,,,HUGHES,ACT,2605
ACT,101,Canberra,8884,1,Isabella Plains,Isabella Plains Primary School,Ellerston Ave,,,ISABELLA PLAINS,ACT,2905
ACT,101,Canberra,8775,1,Kambah East,Village Creek Primary School,Kingsmill St,,,KAMBAH,ACT,2902
ACT,101,Canberra,8776,1,Kambah North,Taylor Primary School,Marconi Cres,,,KAMBAH,ACT,2902
ACT,101,Canberra,8777,1,Kambah South,Urambi Primary School,O'Halloran Crct,,,KAMBAH,ACT,2902
ACT,101,Canberra,8778,1,Kambah West,Mount Neighbour Primary School,Boddington Cres,,,KAMBAH,ACT,2902
ACT,101,Canberra,8779,1,Lyons,Lyons Primary School,Tarraleah Cres,,,LYONS,ACT,2606
ACT,101,Canberra,8780,1,Mawson,Mawson Primary School,Ainsworth St,,,MAWSON,ACT,2607
ACT,101,Canberra,8781,1,Monash,Monash Primary School,Corlette Cres,,,MONASH,ACT,2904
ACT,101,Canberra,8783,1,Oaks Estate,Oaks Estate Community Hall,William St,,,OAKS ESTATE,ACT,2620
ACT,101,Canberra,8784,1,Pearce,Melrose High School,Marr St,,,PEARCE,ACT,2607
ACT,101,Canberra,8785,1,Red Hill,Red Hill Primary School,Astrolabe St,,,RED HILL,ACT,2603
ACT,101,Canberra,8786,1,Richardson,Richardson Primary School,May Gibbs Cl,,,RICHARDSON,ACT,2905
ACT,101,Canberra,8787,1,Rivett,Rivett Primary School,Bangalay Cres,,,RIVETT,ACT,2611
ACT,101,Canberra,32712,2,Special Hospital Team 1,The Grange,Theodore St,,,RED HILL,ACT,2605
ACT,101,Canberra,32713,2,Special Hospital Team 2,Mirinjani Retirement Village,Strickland Cres,,,WESTON,ACT,2904
ACT,101,Canberra,8788,1,Tharwa,Tharwa Primary School,North St,,,THARWA,ACT,2620
ACT,101,Canberra,11878,1,Theodore,Theodore Primary School,Lawrence Wackett Cres,,,THEODORE,ACT,2905
ACT,101,Canberra,8790,1,Wanniassa,Wanniassa High School,Wheeler Cres,,,WANNIASSA,ACT,2903
ACT,101,Canberra,8791,1,Wanniassa Hills,Wanniassa Hills Primary School,Langdon Ave,,,WANNIASSA,ACT,2903
ACT,101,Canberra,8792,1,Waramanga,Arawang Primary School,Nemarang Cres,,,WARAMANGA,ACT,2611
ACT,101,Canberra,8793,1,Weston,Weston Creek Primary School,Hilder St,,,WESTON,ACT,2611
ACT,101,Canberra,8840,1,Yarralumla,Yarralumla Primary School,Loftus St,,,YARRALUMLA,ACT,2600
ACT,102,Fraser,8802,1,Ainslie,Ainslie Primary School,Elder St,,,BRADDON,ACT,2601
ACT,102,Fraser,8801,1,Ainslie North,North Ainslie Primary School,Sherbrooke St,,,AINSLIE,ACT,2602
ACT,102,Fraser,38197,1,Amaroo,Amaroo Primary School,Katherine Ave,,,AMAROO,ACT,2914
ACT,102,Fraser,8803,1,Aranda,Aranda Primary School,Banambila St,,,ARANDA,ACT,2614
ACT,102,Fraser,8804,1,Baker Gardens,Ainslie Pre School,Baker Gardens,,,AINSLIE,ACT,2602
ACT,102,Fraser,8829,1,Barton,Telopea Park School,New South Wales Cres,,,BARTON,ACT,2600
ACT,102,Fraser,8805,1,Belconnen,Lake Ginninderra College,Emu Bank,,,BELCONNEN,ACT,2617
ACT,102,Fraser,12073,1,Bruce,Calvary Hospital,Haydon Dr,,,BRUCE,ACT,2617
ACT,102,Fraser,8806,1,Campbell,Campbell Primary School,Chauvel St,,,CAMPBELL,ACT,2601
ACT,102,Fraser,8807,1,Charnwood,St Thomas Aquinas Primary School,Lhotsky St,,,CHARNWOOD,ACT,2615
ACT,102,Fraser,8808,1,City,Pilgrim House,69 Northbourne Ave,,,CANBERRA CITY,ACT,2601
ACT,102,Fraser,8809,1,Dickson,Daramalan College,Cowper St,,,DICKSON,ACT,2602
ACT,102,Fraser,8810,1,Downer,Downer Community Centre,Frencham Pl,,,DOWNER,ACT,2602
ACT,102,Fraser,8812,1,Evatt,Evatt Primary School,Heydon Cres,,,EVATT,ACT,2617
ACT,102,Fraser,8813,1,Evatt South,Miles Franklin Primary School,Alderman St,,,EVATT,ACT,2617
ACT,102,Fraser,8814,1,Florey,St Francis Xavier College,Barnard Crct,,,FLOREY,ACT,2615
ACT,102,Fraser,8815,1,Flynn,Flynn Primary School,Bingle St,,,FLYNN,ACT,2615
ACT,102,Fraser,34238,1,Fraser,Fraser Primary School,Tillyard Drive,,,FRASER,ACT,2615
ACT,102,Fraser,8816,1,Giralang,Giralang Primary School,Canopus Cres,,,GIRALANG,ACT,2617
ACT,102,Fraser,8817,1,Griffith,O'Connell Centre,Stuart St,,,GRIFFITH,ACT,2603
ACT,102,Fraser,34240,1,Gungahlin,Gungahlin Community Centre,Ernest Cavanagh Street,,,GUNGAHLIN,ACT,2912
ACT,102,Fraser,8819,1,Hall,Hall Primary School,Hoskins St,,,HALL,ACT,2618
ACT,102,Fraser,8820,1,Higgins,Higgins Primary School,Fullagar Cres,,,HIGGINS,ACT,2615
ACT,102,Fraser,8821,1,Holt,Holt Primary School,Beaurepaire Cres,,,HOLT,ACT,2615
ACT,102,Fraser,8822,1,Jervis Bay,Jervis Bay Primary School,Dykes Ave,,,JERVIS BAY,ACT,2540
ACT,102,Fraser,8823,1,Kaleen,Kaleen Primary School,Ashburton St,,,KALEEN,ACT,2617
ACT,102,Fraser,8824,1,Kaleen South,Maribyrnong Primary School,Alberga St,,,KALEEN,ACT,2617
ACT,102,Fraser,8825,1,Latham,Latham Primary School,O'Loghlen St,,,LATHAM,ACT,2615
ACT,102,Fraser,8826,1,Lyneham,Lyneham Primary School,Hall St,,,LYNEHAM,ACT,2602
