State, Division, LinA
New South Wales, Banks, Greater Sydney
New South Wales, Barton, Greater Sydney
New South Wales, Bennelong, Greater Sydney
New South Wales, Berowra, Rest of NSW
New South Wales, Blaxland, Greater Sydney
New South Wales, Bradfield, Greater Sydney
New South Wales, Calare, Rest of NSW
New South Wales, Chifley, Greater Sydney
New South Wales, Cook, Greater Sydney
New South Wales, Cowper, Rest of NSW
New South Wales, Cunningham, Rest of NSW
New South Wales, Dobell , Rest of NSW
New South Wales, Eden-Monaro, Rest of NSW
New South Wales, Farrer, Rest of NSW
New South Wales, Fowler, Greater Sydney
New South Wales, Gilmore, Rest of NSW
New South Wales, Grayndler, Greater Sydney
New South Wales, Greenway, Greater Sydney
New South Wales, Hughes, Greater Sydney
New South Wales, Hume, Rest of NSW
New South Wales, Hunter, Rest of NSW
New South Wales, Kingsford Smith, Greater Sydney
New South Wales, Lindsay, Greater Sydney
New South Wales, Lyne, Rest of NSW
New South Wales, Macarthur, Greater Sydney
New South Wales, Mackellar, Greater Sydney
New South Wales, Macquarie, Rest of NSW
New South Wales, McMahon, Greater Sydney
New South Wales, Mitchell, Greater Sydney
New South Wales, New England, Rest of NSW
New South Wales, Newcastle, Rest of NSW
New South Wales, North Sydney, Greater Sydney
New South Wales, Page, Rest of NSW
New South Wales, Parkes, Rest of NSW
New South Wales, Parramatta, Greater Sydney
New South Wales, Paterson, Rest of NSW
New South Wales, Reid, Greater Sydney
New South Wales, Richmond, Rest of NSW
New South Wales, Riverina, Rest of NSW
New South Wales, Robertson, Rest of NSW
New South Wales, Shortland, Rest of NSW
New South Wales, Sydney, Greater Sydney
New South Wales, Warringah, Greater Sydney
New South Wales, Watson, Greater Sydney
New South Wales, Wentworth, Greater Sydney
New South Wales, Werriwa, Greater Sydney
New South Wales, Whitlam, Rest of NSW
Victoria, Aston, Greater Melbourne
Victoria, Ballarat, Rest of Vic
Victoria, Bendigo, Rest of Vic
Victoria, Bruce, Greater Melbourne
Victoria, Calwell, Greater Melbourne
Victoria, Casey, Rest of Vic
Victoria, Chisholm, Greater Melbourne
Victoria, Cooper, Greater Melbourne
Victoria, Corangamite, Rest of Vic
Victoria, Corio, Rest of Vic
Victoria, Deakin, Greater Melbourne
Victoria, Dunkley, Greater Melbourne
Victoria, Fraser, Greater Melbourne
Victoria, Flinders, Rest of Vic
Victoria, Gellibrand, Greater Melbourne
Victoria, Gippsland, Rest of Vic
Victoria, Goldstein, Greater Melbourne
Victoria, Gorton, Rest of Vic
Victoria, Higgins, Greater Melbourne
Victoria, Holt, Greater Melbourne
Victoria, Hotham, Greater Melbourne
Victoria, Indi, Rest of Vic
Victoria, Isaacs, Greater Melbourne
Victoria, Jagajaga, Greater Melbourne
Victoria, Kooyong, Greater Melbourne
Victoria, La Trobe, Rest of Vic
Victoria, Lalor, Rest of Vic
Victoria, Macnamara, Greater Melbourne
Victoria, Mallee, Rest of Vic
Victoria, Maribyrnong, Greater Melbourne
Victoria, McEwen, Rest of Vic
Victoria, Melbourne, Greater Melbourne
Victoria, Menzies, Greater Melbourne
Victoria, Monash, Rest of Vic
Victoria, Nicholls, Rest of Vic
Victoria, Scullin, Greater Melbourne
Victoria, Wannon, Rest of Vic
Victoria, Wills, Greater Melbourne
Queensland, Blair, Rest of Qld
Queensland, Bonner, Greater Brisbane
Queensland, Bowman, Greater Brisbane
Queensland, Brisbane, Greater Brisbane
