,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,TOTAL,,
NSW,"140,021","411,708","417,152","428,741","449,127","435,468","470,027","431,169","455,124","415,859","373,196","871,014","5,298,606",,1
BANKS                    ,"2,897","8,550","8,005","8,168","8,738","8,622","9,381","9,072","9,657","8,422","6,910","17,942","106,364",1,
Female,"1,434","4,191","3,926","4,062","4,386","4,441","4,908","4,712","4,876","4,269","3,568","10,088","54,861",,
Male,"1,460","4,355","4,077","4,104","4,352","4,181","4,473","4,360","4,781","4,153","3,342","7,854","51,492",,
Indeterminate/Unknown,3,4,2,2, - , - , - , - , - , - , - , - ,11,,
BARTON                   ,"2,492","8,246","8,816","9,842","10,378","9,583","9,966","8,988","9,005","7,622","6,620","17,519","109,077",1,
Female,"1,252","4,124","4,270","4,841","5,107","4,803","5,064","4,631","4,557","3,900","3,394","9,394","55,337",,
Male,"1,237","4,117","4,539","4,997","5,269","4,778","4,902","4,355","4,448","3,720","3,226","8,125","53,713",,
Indeterminate/Unknown,3,5,7,4,2,2, - ,2, - ,2, - , - ,27,,
BENNELONG                ,"2,979","8,904","8,622","8,981","10,024","9,339","9,707","9,157","9,452","8,233","6,894","16,580","108,872",1,
Female,"1,444","4,237","4,110","4,297","4,975","4,645","5,074","4,775","4,791","4,242","3,573","9,240","55,403",,
Male,"1,533","4,664","4,510","4,681","5,046","4,694","4,631","4,379","4,660","3,991","3,320","7,340","53,449",,
Indeterminate/Unknown,2,3,2,3,3, - ,2,3,1, - ,1, - ,20,,
BEROWRA                  ,"3,707","9,362","6,840","5,937","7,339","9,036","10,428","9,663","10,226","8,810","7,391","17,660","106,399",1,
Female,"1,809","4,464","3,239","2,948","3,840","4,691","5,450","5,057","5,185","4,457","3,789","9,475","54,404",,
Male,"1,896","4,897","3,597","2,989","3,498","4,345","4,977","4,606","5,041","4,352","3,602","8,185","51,985",,
Indeterminate/Unknown,2,1,4, - ,1, - ,1, - , - ,1, - , - ,10,,
BLAXLAND                 ,"2,976","9,737","9,474","9,550","9,454","8,773","8,854","8,535","8,827","7,992","6,464","14,786","105,422",1,
Female,"1,526","4,813","4,810","4,886","4,653","4,345","4,483","4,229","4,366","3,970","3,214","7,815","53,110",,
Male,"1,449","4,923","4,662","4,664","4,801","4,428","4,371","4,306","4,461","4,022","3,250","6,971","52,308",,
Indeterminate/Unknown,1,1,2, - , - , - , - , - , - , - , - , - ,4,,
BRADFIELD                ,"3,702","8,946","6,538","6,033","8,143","9,420","10,678","10,001","9,728","7,678","6,790","19,709","107,366",1,
Female,"1,775","4,371","3,142","3,032","4,244","4,890","5,629","5,252","4,942","3,932","3,654","10,900","55,763",,
Male,"1,924","4,571","3,394","3,000","3,899","4,529","5,049","4,748","4,785","3,745","3,136","8,809","51,589",,
Indeterminate/Unknown,3,4,2,1, - ,1, - ,1,1,1, - , - ,14,,
CALARE                   ,"3,217","8,838","9,035","9,152","8,739","8,717","10,121","9,621","10,568","9,819","9,144","21,258","118,229",1,
Female,"1,612","4,334","4,561","4,595","4,455","4,434","5,157","4,850","5,322","4,921","4,605","11,412","60,258",,
Male,"1,604","4,503","4,474","4,557","4,284","4,283","4,964","4,770","5,246","4,897","4,538","9,845","57,965",,
Indeterminate/Unknown,1,1, - , - , - , - , - ,1, - ,1,1,1,6,,
CHIFLEY                  ,"3,455","11,061","10,680","11,064","11,583","9,979","9,812","9,021","8,788","7,777","6,456","12,393","112,069",1,
Female,"1,697","5,490","5,338","5,616","5,715","4,943","4,935","4,580","4,391","4,053","3,344","6,774","56,876",,
Male,"1,756","5,567","5,340","5,447","5,868","5,036","4,876","4,441","4,396","3,723","3,110","5,619","55,179",,
Indeterminate/Unknown,2,4,2,1, - , - ,1, - ,1,1,2, - ,14,,
COOK                     ,"2,758","7,995","7,870","7,842","8,219","8,487","9,943","9,093","9,055","8,234","7,325","20,231","107,052",1,
Female,"1,380","3,948","4,022","4,000","4,188","4,358","5,072","4,652","4,584","4,272","3,894","11,247","55,617",,
Male,"1,377","4,045","3,847","3,840","4,030","4,128","4,871","4,440","4,471","3,962","3,431","8,984","51,426",,
Indeterminate/Unknown,1,2,1,2,1,1, - ,1, - , - , - , - ,9,,
COWPER                   ,"2,938","7,695","7,440","7,547","7,788","8,043","9,699","9,540","11,419","11,997","11,602","28,799","124,507",1,
Female,"1,468","3,773","3,667","3,918","4,018","4,190","5,051","5,027","6,017","6,199","5,903","15,526","64,757",,
Male,"1,468","3,919","3,772","3,629","3,768","3,852","4,647","4,512","5,401","5,795","5,699","13,270","59,732",,
Indeterminate/Unknown,2,3,1, - ,2,1,1,1,1,3, - ,3,18,,
CUNNINGHAM               ,"3,282","10,755","9,740","8,816","8,957","9,117","10,015","9,057","9,854","8,774","7,562","19,383","115,312",1,
Female,"1,726","5,315","4,760","4,407","4,525","4,557","5,020","4,611","4,996","4,501","3,929","10,679","59,026",,
Male,"1,552","5,438","4,977","4,404","4,432","4,560","4,995","4,444","4,858","4,272","3,633","8,704","56,269",,
Indeterminate/Unknown,4,2,3,5, - , - , - ,2, - ,1, - , - ,17,,
DOBELL                   ,"3,275","9,676","9,226","8,884","9,122","8,994","10,027","9,151","9,653","9,116","8,456","21,779","117,359",1,
Female,"1,703","4,740","4,677","4,503","4,603","4,612","5,097","4,652","5,023","4,864","4,540","12,222","61,236",,
Male,"1,570","4,934","4,549","4,381","4,518","4,382","4,930","4,499","4,630","4,252","3,916","9,557","56,118",,
Indeterminate/Unknown,2,2, - , - ,1, - , - , - , - , - , - , - ,5,,
EDEN-MONARO              ,"2,617","7,219","7,459","8,045","8,290","8,694","10,395","10,280","11,297","10,764","9,637","19,443","114,140",1,
Female,"1,317","3,571","3,751","4,076","4,284","4,419","5,266","5,208","5,582","5,370","4,737","10,007","57,588",,
Male,"1,296","3,642","3,703","3,966","4,003","4,275","5,128","5,071","5,714","5,392","4,899","9,435","56,524",,
Indeterminate/Unknown,4,6,5,3,3, - ,1,1,1,2,1,1,28,,
FARRER                   ,"2,903","8,484","7,981","7,660","7,781","8,142","9,317","9,143","10,639","10,475","9,634","23,500","115,659",1,
Female,"1,534","4,140","3,918","3,861","3,944","4,184","4,743","4,772","5,370","5,258","4,821","12,475","59,020",,
Male,"1,368","4,343","4,063","3,799","3,837","3,958","4,571","4,371","5,269","5,217","4,813","11,025","56,634",,
Indeterminate/Unknown,1,1, - , - , - , - ,3, - , - , - , - , - ,5,,
FOWLER                   ,"3,031","9,497","8,991","8,360","8,535","8,220","9,352","9,135","9,918","9,294","7,595","15,047","106,975",1,
Female,"1,588","4,570","4,456","4,153","4,392","4,337","4,847","4,550","4,894","4,724","3,966","7,910","54,387",,
Male,"1,441","4,926","4,531","4,206","4,142","3,880","4,503","4,584","5,024","4,569","3,629","7,137","52,572",,
Indeterminate/Unknown,2,1,4,1,1,3,2,1, - ,1, - , - ,16,,
GILMORE                  ,"2,553","7,322","7,163","7,078","7,272","7,453","8,868","8,844","11,465","12,281","12,561","29,676","122,536",1,
Female,"1,298","3,560","3,534","3,618","3,580","3,771","4,498","4,535","5,965","6,414","6,413","15,499","62,685",,
Male,"1,254","3,757","3,624","3,460","3,692","3,680","4,369","4,308","5,498","5,867","6,148","14,175","59,832",,
Indeterminate/Unknown,1,5,5, - , - ,2,1,1,2, - , - ,2,19,,
GRAYNDLER                ,"1,914","7,326","11,742","12,461","12,171","10,869","11,189","8,980","8,225","6,608","5,892","12,268","109,645",1,
