Year,Elect_div,State,PollingPlaceID,Latitude,Longitude
2016,Canberra,ACT,8829,-35.3151,149.135
2016,Fenner,ACT,64583,-35.2389038,149.070109
2016,Canberra,ACT,65504,-35.2790544,149.1263791
2016,Bean,ACT,11877,-35.4318,149.083
2016,Canberra,ACT,8802,-35.27363,149.14001
2016,Bean,ACT,11452,-35.44067,149.1176
2016,Canberra,ACT,8806,-35.2903,149.156
2016,Bean,ACT,8761,-35.3564,149.042
2016,Bean,ACT,8763,-35.4187478,149.1225386
2016,Canberra,ACT,8808,-35.2767018,149.1290814
2016,Canberra,ACT,58708,-35.276666,149.1290402
2016,Bean,ACT,31298,-35.4649,149.098
2016,Bean,ACT,82523,-35.3226028,149.0428484
2016,Canberra,ACT,8764,-35.3317,149.08
2016,Canberra,ACT,8766,-35.3125,149.111
2016,Canberra,ACT,30092,-35.2770599,149.1268434
2016,Bean,ACT,8767,-35.3347,149.032
2016,Bean,ACT,8768,-35.4044,149.118
2016,Bean,ACT,8769,-35.379,149.107
2016,Canberra,ACT,8794,-35.343976,149.103689
2016,Bean,ACT,8771,-35.4147,149.133
2016,Bean,ACT,12072,-35.4555,149.087
2016,Bean,ACT,8772,-35.4136,149.111
2016,Canberra,ACT,8817,-35.3222,149.145
2016,Fenner,ACT,65981,-35.182019,149.1329123
2016,Bean,ACT,8773,-35.3348,149.05
2016,Canberra,ACT,8774,-35.3313,149.094
2016,Bean,ACT,8884,-35.4287,149.089
2016,Bean,ACT,8776,-35.3784,149.065
2016,Bean,ACT,8777,-35.3924756,149.067537
2016,Bean,ACT,8778,-35.3806,149.053
2016,Canberra,ACT,8779,-35.342,149.076
2016,Bean,ACT,8780,-35.3585,149.097
2016,Bean,ACT,8781,-35.4151,149.089
2016,Canberra,ACT,8782,-35.3286,149.15
2016,Bean,ACT,65739,-29.0346718,167.9532444
2016,Bean,ACT,66153,-29.02566,167.941585
2016,Canberra,ACT,8783,-35.3424,149.231
2016,Canberra,ACT,65741,-35.3020098,149.1298449
2016,Bean,ACT,8784,-35.3637,149.089
2016,Canberra,ACT,8785,-35.3395,149.133
2016,Bean,ACT,8786,-35.4287,149.114
2016,Canberra,ACT,66154,-35.3441352,149.0988362
2016,Bean,ACT,8788,-35.5089485,149.0674893
2016,Bean,ACT,11878,-35.4477,149.124
2016,Bean,ACT,32704,-35.4149881,149.0685725
2016,Canberra,ACT,66118,-35.265,149.126
2016,Bean,ACT,8790,-35.3947,149.086
2016,Bean,ACT,8791,-35.392,149.096
2016,Bean,ACT,8792,-35.355,149.06
2016,Bean,ACT,8793,-35.3412,149.054
2016,Bean,ACT,32705,-35.344032,149.0860283
2016,Canberra,ACT,8840,-35.3069,149.103
2016,Canberra,ACT,8801,-35.2543,149.147
2016,Fenner,ACT,38197,-35.1653,149.129
2016,Canberra,ACT,8803,-35.256,149.08
2016,Fenner,ACT,8805,-35.2391,149.074
2016,Fenner,ACT,32464,-35.2391809,149.0690401
2016,Canberra,ACT,65505,-35.2790544,149.1263791
2016,Fenner,ACT,65695,-35.1615786,149.1397655
2016,Canberra,ACT,66142,-35.27363,149.14001
2016,Fenner,ACT,8807,-35.2051,149.03
2016,Canberra,ACT,66144,-35.2767018,149.1290814
2016,Canberra,ACT,32465,-35.2767018,149.1290814
2016,Canberra,ACT,8809,-35.2535,149.139
2016,Canberra,ACT,30093,-35.2770599,149.1268434
2016,Canberra,ACT,82525,-35.2445,149.145
2016,Fenner,ACT,8812,-35.2071,149.076
2016,Fenner,ACT,8814,-35.224,149.041
2016,Fenner,ACT,65493,-35.1708975,149.143181
2016,Fenner,ACT,34238,-35.1918,149.043
2016,Canberra,ACT,8816,-35.2137,149.094
2016,Fenner,ACT,34240,-35.1885,149.124
2016,Fenner,ACT,38504,-35.182019,149.1329123
2016,Fenner,ACT,47681,-35.19913,149.15129
2016,Fenner,ACT,8821,-35.22694,149.02497
2016,Canberra,ACT,8823,-35.2248,149.114
2016,Canberra,ACT,8824,-35.2351,149.102
2016,Fenner,ACT,8825,-35.2202,149.034
2016,Canberra,ACT,8826,-35.2515,149.125
2016,Fenner,ACT,8827,-35.2131,149.012
2016,Canberra,ACT,8828,-35.2501,149.059
2016,Fenner,ACT,8830,-35.2083,149.056
2016,Fenner,ACT,32463,-35.1692,149.112
2016,Fenner,ACT,32081,-35.1802,149.102
2016,Fenner,ACT,8832,-35.2398,149.042
2016,Fenner,ACT,31626,-35.1975,149.12
2016,Canberra,ACT,65743,-35.3020098,149.1298449
2016,Fenner,ACT,8834,-35.2335,149.03942
2016,Canberra,ACT,82488,-35.2520152,149.0902233
2016,Bean,ACT,64585,-35.4178385,149.0684867
2016,Canberra,ACT,8836,-35.265,149.126
2016,Canberra,ACT,8837,-35.2385,149.155
2016,Canberra,ACT,8838,-35.2518,149.047
2016,Bean,ACT,64584,-35.344032,149.086023
2016,Banks,NSW,31,-33.9767897,151.1148974
2016,Banks,NSW,67,-33.9756,151.111
2016,Watson,NSW,56500,-33.9413,151.075
2016,Barton,NSW,79612,-33.9528,151.085
2016,Banks,NSW,46,-33.9814,151.113
2016,Barton,NSW,65425,-33.9674459,151.1065776
2016,Banks,NSW,56472,-33.9727,151.128
2016,Banks,NSW,65,-33.9763447,151.1206652
2016,Banks,NSW,42,-33.9855,151.1
2016,Barton,NSW,30094,-33.967618,151.106362
2016,Banks,NSW,2,-33.9611817,150.982054
2016,Barton,NSW,79613,-33.9642,151.102
2016,Barton,NSW,79614,-33.9641,151.111
2016,Banks,NSW,45,-33.9729154,151.0909386
