Elect_div,Year,PartyAb,votes,total_votes,first_prefs_percent
Adelaide,2007,ALP,41548,82487,0.5036914907803653
Adelaide,2007,CCE,1,82487,1.2123122431413434e-5
Adelaide,2007,DEM,1202,82487,0.014571993162558949
Adelaide,2007,FFP,1953,82487,0.023676458108550437
Adelaide,2007,GRN,7373,82487,0.08938378168681126
Adelaide,2007,IND,83,82487,0.0010062191618073152
Adelaide,2007,LDP,29,82487,3.515705505109896e-4
Adelaide,2007,LP,26924,82487,0.3264029483433753
Adelaide,2007,ON,4,82487,4.8492489725653736e-5
Adelaide,2007,WWW,91,82487,0.0011032041412586226
Adelaide,2007,NA,3279,82487,0.039751718452604654
Adelaide,2010,ALP,37009,81306,0.4551816594101296
Adelaide,2010,DEM,584,81306,0.007182741741076919
Adelaide,2010,FFP,2183,81306,0.026849187021868004
Adelaide,2010,GRN,10679,81306,0.1313433202961651
Adelaide,2010,IND,7,81306,8.609450717044253e-5
Adelaide,2010,LDP,406,81306,0.004993481415885666
Adelaide,2010,LP,25098,81306,0.30868570585196664
Adelaide,2010,ON,9,81306,1.1069293779056896e-4
Adelaide,2010,SAL,490,81306,0.006026615501930977
Adelaide,2010,SPA,1,81306,1.2299215310063217e-5
Adelaide,2010,TCS,62,81306,7.625513492239195e-4
Adelaide,2010,NA,4778,81306,0.05876565075148205
Adelaide,2013,AFN,127,85116,0.0014920813948023873
Adelaide,2013,ALP,36857,85116,0.4330208186474928
Adelaide,2013,DLP,80,85116,9.398937920015038e-4
Adelaide,2013,FFP,2494,85116,0.02930118896564688
Adelaide,2013,GRN,8206,85116,0.09640960571455426
Adelaide,2013,IND,32,85116,3.759575168006015e-4
Adelaide,2013,KAP,75,85116,8.811504300014098e-4
Adelaide,2013,LP,30243,85116,0.3553150993937685
Adelaide,2013,NP,12,85116,1.4098406880022558e-4
Adelaide,2013,PUP,2311,85116,0.027151181916443442
Adelaide,2013,RUA,3,85116,3.5246017200056396e-5
Adelaide,2013,SAL,561,85116,0.006591005216410545
Adelaide,2013,NA,4115,85116,0.048345786926077355
Adelaide,2016,AJP,1172,88410,0.013256418957131547
Adelaide,2016,ALP,34078,88410,0.38545413414772084
Adelaide,2016,CDP,149,88410,0.0016853297138332767
Adelaide,2016,FFP,1904,88410,0.021536025336500397
Adelaide,2016,GRN,8345,88410,0.09438977491234023
Adelaide,2016,IND,41,88410,4.6374844474606945e-4
Adelaide,2016,LDP,593,88410,0.006707386042302907
Adelaide,2016,LP,26882,88410,0.3040606266259473
Adelaide,2016,XEN,11536,88410,0.13048297703879652
Adelaide,2016,NA,3710,88410,0.04196357878068092
Aston,2007,ALP,31820,79397,0.40077080998022596
Aston,2007,CEC,171,79397,0.0021537337682783985
Aston,2007,DEM,1003,79397,0.012632719120369788
Aston,2007,FFP,2755,79397,0.03469904404448531
Aston,2007,GRN,4346,79397,0.05473758454349661
Aston,2007,LDP,13,79397,1.6373414612642795e-4
Aston,2007,LP,36677,79397,0.4619444059599229
Aston,2007,NA,2612,79397,0.0328979684370946
Aston,2010,ALP,33127,86300,0.38385863267670917
Aston,2010,ASXP,677,86300,0.007844727694090382
Aston,2010,FFP,3433,86300,0.03977983777520278
Aston,2010,GRN,8152,86300,0.0944611819235226
