division,StateAb,mean_est_first_pres,lower_est_first_pres,upper_est_first_pres,low_est_first_pres,high_est_first_pres,mean_est_2pp,lower_est_2pp,upper_est_2pp,actual2PP,actualFirstprefs,forecast_alp_win,actual_alp_win,forecast_type,actual_type
Adelaide,SA,0.3493941132799208,0.17473706189872243,0.5397670677761623,0.056446623565440654,0.8737897113867664,0.5593193411893249,0.446887118700042,0.6774241527667932,0.5818,0.38781121124179013,1,1,Marginal win,Fairly safe win
Aston,VIC,0.2980934207488804,0.1295798513320098,0.481181494990535,0.004349231266448128,0.6751096541853271,0.4450515681747442,0.33950804835526527,0.5633055802670142,0.3987,0.28713709716221286,0,0,Marginal loss,Safe loss
Ballarat,VIC,0.31642600975806046,0.14261757456868365,0.5032020522106533,0.007112318293848398,0.7327297419646899,0.5099342274158882,0.3980025541581619,0.6294335434006069,0.6098,0.45707447006668406,1,1,Too close to call,Safe win
Banks,NSW,0.32019169320175644,0.1512648650655873,0.5043037904176607,0.030106109414309454,0.8063944150985435,0.4754574550051244,0.3677858129690575,0.5943817769781535,0.4374,0.33730588294805,0,0,Too close to call,Fairly safe loss
Barker,SA,0.29700821240376624,0.11075945899049307,0.5019187389839176,0,0.7280431784765158,0.43496314178339085,0.3198236942396177,0.5668495153906039,0.3106,0.19844851778037947,0,0,Fairly safe loss,Safe loss
Barton,NSW,0.31434615704092567,0.1518519133807906,0.4957575027618802,0.0023091810713603404,0.7443537200242547,0.5285667705481671,0.42352204604126015,0.6437333660694103,0.5941,0.4450291809217146,1,1,Too close to call,Fairly safe win
Bass,TAS,0.3007482984254959,0.13115999182075774,0.498084450676248,0.014006952355913885,0.7081325037244763,0.4966097935443814,0.3877149198976136,0.6232216475835773,0.4959,0.3317633001264363,0,0,Too close to call,Too close to call
Bean,ACT,0.35549601575429324,0.18526715670470909,0.5506609065703784,0.04723064027338965,0.8145163023620694,0.5494359792029824,0.43972763624920524,0.6712622822413004,0.5752,0.3617705292808883,1,1,Marginal win,Fairly safe win
Bendigo,VIC,0.32182401625120793,0.15062240879477137,0.5140743357682436,0.005382433317054416,0.7646172549590083,0.5159715887764666,0.4056183280915652,0.6385270476725456,0.5904,0.41838477434208665,1,1,Too close to call,Fairly safe win
Bennelong,NSW,0.32325520841958827,0.16517728499743306,0.496860871437325,0.0324097842107878,0.7353973800573009,0.4606450972612068,0.36038256569097693,0.5730362671455808,0.43090000000000006,0.3227137539146363,0,0,Marginal loss,Fairly safe loss
Berowra,NSW,0.3308439799704016,0.16972043708313905,0.5092251707989539,0.03329819368702739,0.741906055507126,0.4323992600627981,0.33220560894757256,0.5474057454790867,0.3435,0.19747932649197966,0,0,Fairly safe loss,Safe loss
Blair,QLD,0.32597530209053466,0.1423647286783965,0.5177335176872667,0.017039756185431496,0.8053962473588377,0.5196472311468584,0.4013742597519888,0.6416488292140069,0.5121,0.2891985726685312,1,1,Too close to call,Too close to call
Blaxland,NSW,0.3036258789501187,0.12559108536015182,0.49837319740738356,0,0.7549940868544817,0.5473474147899902,0.4325597389861319,0.6690931006161471,0.6472,0.5009065648167023,1,1,Marginal win,Safe win
Bonner,QLD,0.32781413834419476,0.15693279562036686,0.5201656974195622,0.02318400109101182,0.7946949550444685,0.47970973887931323,0.3706520069444336,0.6037445200335843,0.42590000000000006,0.3018850423078112,0,0,Too close to call,Fairly safe loss
Boothby,SA,0.29591255150088286,0.1325540233750946,0.47224207517026806,0,0.7225510804675018,0.47565400166352245,0.3713799599134788,0.5896694068373118,0.48619999999999997,0.3300611910712747,0,0,Too close to call,Too close to call
Bowman,QLD,0.2959252695538214,0.12147197235956396,0.4917287186513372,5.063441949127301e-4,0.7557336033835707,0.4319144315240528,0.3239365779345998,0.5580257871646206,0.39759999999999995,0.25683666653569603,0,0,Fairly safe loss,Safe loss
Braddon,TAS,0.29702189892579545,0.11208989549066985,0.5054860120520507,0.012415941311752204,0.756469971762103,0.46703698568307367,0.35015973150747826,0.6013532877977295,0.46909999999999996,0.2979164176726027,0,0,Marginal loss,Marginal loss
Bradfield,NSW,0.2977386437855888,0.13733200253893496,0.4611496959717405,0.006798090279374833,0.6243296199876733,0.39461415952804796,0.2985098778314635,0.4982416709618694,0.3344,0.203205620814579,0,0,Safe loss,Safe loss
