division,estimated_first_prefs_percent,lower,upper,year,estimated_2PP,actual2PP,actual_first_prefs_percent,forecast_type,actual_type
Adelaide,0.37489481315927864,0.18289664985925078,0.5788636433940669,2019,0.5770120335554888,0.5818,0.38781121124179013,Fairly safe win,Fairly safe win
Aston,0.44933161734152083,0.2369897040491251,0.655522877325823,2019,0.5427065371103523,0.3987,0.28713709716221286,Marginal win,Safe loss
Ballarat,0.46058813188471404,0.2429704240229365,0.6795294502288617,2019,0.6030703524953657,0.6098,0.45707447006668406,Safe win,Safe win
Banks,0.4724569551332634,0.25650094226645254,0.6679155952060454,2019,0.5741423515421009,0.4374,0.33730588294805,Fairly safe win,Fairly safe loss
Barker,0.3726707344359309,0.12990735075206164,0.6290495803614645,2019,0.4827045930754096,0.3106,0.19844851778037947,Too close to call,Safe loss
Barton,0.49861279062040553,0.2969683692031664,0.7058703452973278,2019,0.6454450984410868,0.5941,0.4450291809217146,Safe win,Fairly safe win
Bass,0.39698245479508076,0.17561819005053603,0.6184704816989454,2019,0.5593883536933119,0.4959,0.3317633001264363,Marginal win,Too close to call
Bean,0.42270264846218325,0.23177160573430483,0.6151793582221077,2019,0.5936456069600867,0.5752,0.3617705292808883,Fairly safe win,Fairly safe win
Bendigo,0.4751907023140307,0.2593434054801068,0.6925895427009839,2019,0.6147268856756992,0.5904,0.41838477434208665,Safe win,Fairly safe win
Bennelong,0.4372192173293808,0.2494681864100823,0.6323661046983423,2019,0.5344898549978337,0.43090000000000006,0.3227137539146363,Marginal win,Fairly safe loss
Berowra,0.3704186956433596,0.1960830275508342,0.5617395138565086,2019,0.456848520557084,0.3435,0.19747932649197966,Marginal loss,Safe loss
Blair,0.3714967283668124,0.15940935336559528,0.6016988636916876,2019,0.5497977055907819,0.5121,0.2891985726685312,Marginal win,Too close to call
Blaxland,0.4155321945562391,0.19663317412150827,0.651600445548639,2019,0.6194717577332076,0.6472,0.5009065648167023,Safe win,Safe win
Bonner,0.4323746066999815,0.23230442152020808,0.6479151446077714,2019,0.547694318292908,0.42590000000000006,0.3018850423078112,Marginal win,Fairly safe loss
Boothby,0.45446030017657446,0.2436399562768015,0.664078449508114,2019,0.5783655285131348,0.48619999999999997,0.3300611910712747,Fairly safe win,Too close to call
Bowman,0.39975119139810567,0.1821436726832271,0.6290304005083299,2019,0.4981164143756848,0.39759999999999995,0.25683666653569603,Too close to call,Safe loss
Braddon,0.47080605368111555,0.21970211929783703,0.7127605455445256,2019,0.5794110219256264,0.46909999999999996,0.2979164176726027,Fairly safe win,Marginal loss
Bradfield,0.3307572534427406,0.15723826432520444,0.5217890752205471,2019,0.41380782021851154,0.3344,0.203205620814579,Fairly safe loss,Safe loss
Brand,0.40054692338403414,0.18543707519426647,0.6300000486883364,2019,0.57110875858221255,0.5666,0.3785520581624793,Fairly safe win,Fairly safe win
Brisbane,0.34827238372837377,0.16970109507429945,0.5461335256612696,2019,0.5284215056112878,0.4508,0.23874631888935632,Too close to call,Marginal loss
Bruce,0.42583048771118076,0.2038221685348176,0.660628185318297,2019,0.6073182824077815,0.6415000000000001,0.5246801473199338,Safe win,Safe win
Burt,0.32736098749346226,0.13060706715726306,0.5436017544020627,2019,0.4865713990115906,0.54990000000000006,0.3832614102591356,Too close to call,Marginal win
Calare,0.4230666277088863,0.20271260053088228,0.64516362267739,2019,0.5137957224541068,0.3671,0.2087408064122165,Too close to call,Safe loss
Calwell,0.5189042248779667,0.29272008079447903,0.7425079457805678,2019,0.7033154922658025,0.688,0.4890695067264574,Safe win,Safe win
Canberra,0.4546188233452449,0.2709444870286202,0.6422876159219234,2019,0.6781735478047276,0.6708,0.39622000520910006,Safe win,Safe win
