type,state,division,mean_est_first_prefs,lower_est_first_prefs,upper_est_first_prefs,actual_first_prefs,mean_est_2PP,lower_est_2PP,upper_est_2PP,actual_2PP,forecast_alp_win,actual_alp_win,forecast_type,actual_type
LinA,ACT,Bean,0.3519339899413244,0.17770971693855178,0.5444795495088872,0.3617705292808883,0.5471906166749665,0.43486133603989513,0.6676830193627796,0.5752,1,1,Marginal win,Fairly safe win
LinA,ACT,Canberra,0.3383476524123636,0.1800867997452147,0.5125557342891381,0.39622000520910006,0.6066452238393144,0.5067475255294738,0.7103327912424875,0.6708,1,1,Safe win,Safe win
LinA,ACT,Fenner,0.33631136155656266,0.17463558915809654,0.5142071204462262,0.4351974199905937,0.5484753763226854,0.44412003970416164,0.660189277156325,0.6056,1,1,Marginal win,Safe win
LinA,NSW,Banks,0.32142185454748,0.15649885349845433,0.5023863013952969,0.33730588294805,0.4762330026707815,0.37097621215753035,0.5931714759365608,0.4374,0,0,Too close to call,Fairly safe loss
LinA,NSW,Barton,0.3119879411740275,0.1480239058385733,0.48753042221465415,0.4450291809217146,0.5270582369860697,0.4210782329939342,0.6387808173126233,0.5941,1,1,Too close to call,Fairly safe win
LinA,NSW,Bennelong,0.3245109426494212,0.16886582316214827,0.4979365053077852,0.3227137539146363,0.4614437339404506,0.36261045391042246,0.5737247933895162,0.43090000000000006,0,0,Marginal loss,Fairly safe loss
LinA,NSW,Berowra,0.32762657621586555,0.1670971273339145,0.5072556611997486,0.19747932649197966,0.43031890350788443,0.33068446381962596,0.5461285586798219,0.3435,0,0,Fairly safe loss,Safe loss
LinA,NSW,Blaxland,0.2997145990520632,0.12758092758459466,0.49023551737731363,0.5009065648167023,0.544897702708741,0.43383826302821876,0.6643614146465389,0.6472,1,1,Marginal win,Safe win
LinA,NSW,Bradfield,0.29626219332701664,0.14170890559025637,0.4666056463705187,0.203205620814579,0.3936988263692828,0.30091378997864443,0.5018109565966817,0.3344,0,0,Safe loss,Safe loss
LinA,NSW,Calare,0.3075097287151856,0.13210451249950478,0.5061145556832137,0.2087408064122165,0.4396564608401728,0.3304397893959098,0.5677109216463992,0.3671,0,0,Fairly safe loss,Safe loss
LinA,NSW,Chifley,0.31570341449762107,0.14916316820598935,0.5073770874148708,0.49057914904600236,0.5524347439716314,0.44509053958921446,0.6719133629081491,0.6236999999999999,1,1,Marginal win,Safe win
LinA,NSW,Cook,0.30965674464986703,0.14968131357899622,0.49102085180026167,0.21682440797092767,0.40424602446603586,0.30724173205919336,0.5200331611043825,0.3098,0,0,Fairly safe loss,Safe loss
LinA,NSW,Cowper,0.30865223604090075,0.12562040441176472,0.5190156824448529,0.12716515477251675,0.46424074960307316,0.34870765136718435,0.5998205022043006,0.3812,0,0,Marginal loss,Safe loss
LinA,NSW,Cunningham,0.31784658547785505,0.15210578599141567,0.5008987310929094,0.4395308972713733,0.5672783779574119,0.4607335454365548,0.6803402960103473,0.6341,1,1,Fairly safe win,Safe win
LinA,NSW,Dobell,0.31694798467073987,0.13914642533215058,0.5261409733781184,0.39014014014014015,0.49726106124678277,0.3832476087975904,0.6310924114471465,0.515,0,1,Too close to call,Too close to call
LinA,NSW,Eden-Monaro,0.290235364663585,0.12214894709809963,0.47213199794555716,0.36503450542228066,0.4678684345101931,0.36111410835081126,0.5854794241851247,0.5085000000000001,0,1,Marginal loss,Too close to call
LinA,NSW,Farrer,0.29009209402324665,0.11690566001516504,0.48924193997331716,0.13302559406449443,0.37469611647221096,0.27379079289713293,0.4997151694546334,0.3017,0,0,Safe loss,Safe loss
LinA,NSW,Fowler,0.312533270598279,0.12701568699735158,0.5205977939250475,0.4738596709870389,0.5332201795882395,0.41378350132239217,0.664092254006631,0.6399,1,1,Marginal win,Safe win
LinA,NSW,Gilmore,0.29735259887342413,0.11637111435639137,0.5057967990939706,0.3429215025473616,0.4513660387896656,0.3379525444706684,0.5857983154091483,0.5261,0,1,Marginal loss,Too close to call
LinA,NSW,Grayndler,0.3122537778049262,0.15598904248620915,0.48077501386134874,0.4869294108242066,0.6453829617338859,0.5497892697845621,0.7407218018991494,0.7383,1,1,Safe win,Safe win
LinA,NSW,Greenway,0.3207714421407601,0.14756764863611987,0.5043888671750728,0.42858676975945015,0.4868740972084467,0.37604624794948377,0.6052455678781625,0.528,0,1,Too close to call,Too close to call
LinA,NSW,Hughes,0.31322046358093353,0.14950562353231986,0.49520506323898966,0.28886086257063126,0.4284420448482163,0.3270458708207333,0.5456361758768402,0.40149999999999997,0,0,Fairly safe loss,Fairly safe loss
LinA,NSW,Hume,0.3341289474225955,0.15211215415019763,0.5382462532938074,0.24856193276236738,0.4411059306551402,0.3278941848941002,0.5726609128963809,0.3701,0,0,Marginal loss,Safe loss
LinA,NSW,Hunter,0.32794309753451967,0.14124182814927735,0.5308043348675402,0.342012045505242,0.5280673869264959,0.40780895463601696,0.6561946621343985,0.5297999999999999,1,1,Too close to call,Too close to call
LinA,NSW,Kingsford Smith,0.3096022117799562,0.14297942153447302,0.4848711820465041,0.42551980914544674,0.5086900695364786,0.4012546501145929,0.6211487149253098,0.5881000000000001,1,1,Too close to call,Fairly safe win
LinA,NSW,Lindsay,0.31734733212594035,0.14098727593572954,0.5080756013745704,0.31669375011411566,0.474094997383767,0.36195088544726395,0.5971718481482687,0.4496,0,0,Too close to call,Marginal loss
LinA,NSW,Lyne,0.30125419710103,0.1190106722593576,0.5118360831878339,0.2190139832488587,0.4369877929977964,0.32403354516036986,0.5726458384650489,0.3483,0,0,Fairly safe loss,Safe loss
LinA,NSW,Macarthur,0.3281957304303348,0.14705888029956474,0.5258620689655171,0.43547042604450065,0.4918163415365456,0.3759268073828376,0.6187825623336695,0.584,0,1,Too close to call,Fairly safe win
LinA,NSW,Mackellar,0.30217698809163385,0.13668079523665355,0.48030376425471755,0.1614445446522949,0.43145541891617684,0.3287918747486741,0.5462530809465631,0.3678,0,0,Fairly safe loss,Safe loss
LinA,NSW,Macquarie,0.31447462137897764,0.14595840412812283,0.5097146183374236,0.36633790441212766,0.5017148302875926,0.3933231310488491,0.6268009917512296,0.5019,1,1,Too close to call,Too close to call
LinA,NSW,McMahon,0.30327431686486894,0.127833850931677,0.49679594000908944,0.40516247271529177,0.507074587117587,0.39423252263265113,0.6308696854053419,0.5664,1,1,Too close to call,Fairly safe win
LinA,NSW,Mitchell,0.3196669549498631,0.1632022335045167,0.4956080258041883,0.22738037932030422,0.3941102040367574,0.30017843522613485,0.5058486300650639,0.31370000000000003,0,0,Safe loss,Safe loss
LinA,NSW,New England,0.3011251671754244,0.12260466968177967,0.4966370940572327,0.11882420528533129,0.47775286671691863,0.36412432613768414,0.6037859916589599,0.3237,0,0,Too close to call,Safe loss
LinA,NSW,Newcastle,0.3062385555845026,0.14650573151215157,0.48768469239644197,0.43212841833133175,0.5536510678188502,0.45058491763446906,0.6669658861561875,0.6383,1,1,Marginal win,Safe win
LinA,NSW,North Sydney,0.29060763934340395,0.13365709348901747,0.45046425984588667,0.24069247767879262,0.43711752471952403,0.33907647714437983,0.5403154773932267,0.4073,0,0,Fairly safe loss,Fairly safe loss
LinA,NSW,Page,0.2949389951579654,0.12134570209501894,0.5012517378589577,0.25105682178461974,0.4705750938703339,0.36034386475821134,0.6035481389415036,0.40549999999999997,0,0,Too close to call,Fairly safe loss
LinA,NSW,Parkes,0.30102758336223295,0.11964542808201183,0.501088727051084,0.22179580957725029,0.3999522652781203,0.2913355669716711,0.5272877429503617,0.3309,0,0,Safe loss,Safe loss
LinA,NSW,Parramatta,0.3134425560296682,0.1526369502503154,0.48477776974197,0.4130658269216202,0.5034998777683674,0.39980698611035986,0.61369743069565,0.535,1,1,Too close to call,Marginal win
LinA,NSW,Paterson,0.3074386955925832,0.12963160574080237,0.5124821334168739,0.3867508492485569,0.49768027637080736,0.38364303816604917,0.628954590447534,0.5504,0,1,Too close to call,Marginal win
LinA,NSW,Reid,0.32987388806667706,0.1638736563327621,0.5096354572363295,0.3492543591695294,0.47837348649753403,0.37237134903075797,0.5945330653813287,0.4682,0,0,Too close to call,Marginal loss
LinA,NSW,Richmond,0.316964493597206,0.14051567648625718,0.5206107811605927,0.29347394838578716,0.5367362256315177,0.42308519642352777,0.6647460742732484,0.5408,1,1,Marginal win,Marginal win
LinA,NSW,Riverina,0.30973917285217145,0.1365196226339187,0.5092138877154868,0.2196749036925679,0.3923002496948226,0.28910799921630626,0.5188787902846103,0.30519999999999997,0,0,Safe loss,Safe loss
LinA,NSW,Robertson,0.30327494896801993,0.13156405286706943,0.4922745829810922,0.3163663402669139,0.46560410941744085,0.3567866398606226,0.5877262154679548,0.4576,0,0,Marginal loss,Marginal loss
LinA,NSW,Shortland,0.3028933773558112,0.13125190189276367,0.4999254458036636,0.3849775805741994,0.5068084062931899,0.3963522256415384,0.6327568851820785,0.5445,1,1,Too close to call,Marginal win
LinA,NSW,Sydney,0.3339452422026622,0.15985277685205154,0.5236622166460828,0.4753015654008867,0.6220763865404051,0.5133365259141938,0.7321150630866144,0.6867,1,1,Safe win,Safe win
LinA,NSW,Warringah,0.31171402599604975,0.15463160624862837,0.48530814197075184,0.06278086992372707,0.4641994319653839,0.36434236754600186,0.5765807666176002,0.4788,0,0,Marginal loss,Too close to call
