electorate_name,electorate_number
Refused,-99
Don't know,-98
Banks,1
Barton,2
Bennelong,3
Berowra,4
Blaxland,5
Bradfield,6
Calare,7
Chifley,8
Cook,9
Cowper,10
Cunningham,11
Dobell,12
Eden-Monaro,13
Farrer,14
Fowler,15
Gilmore,16
Grayndler,17
Greenway,18
Hughes,19
Hume,20
Hunter,21
Kingsford Smith,22
Lindsay,23
Lyne,24
Macarthur,25
Mackellar,26
Macquarie,27
McMahon,28
Mitchell,29
Newcastle,30
New England,31
North Sydney,32
Page,33
Parkes,34
Parramatta,35
Paterson,36
Reid,37
Richmond,38
Riverina,39
Robertson,40
Shortland,41
Sydney,42
Warringah,43
Watson,44
Wentworth,45
Werriwa,46
Whitlam,47
Aston,48
Ballarat,49
Bendigo,50
Bruce,51
Calwell,52
Casey,53
Chisholm,54
Cooper,55
Corangamite,56
Corio,57
Deakin,58
Dunkley,59
Flinders,60
Fraser,61
Gellibrand,62
Gippsland,63
Goldstein,64
Gorton,65
Higgins,66
Holt,67
Hotham,68
Indi,69
Isaacs,70
Jagajaga,71
Kooyong,72
Lalor,73
La Trobe,74
Macnamara,75
Mallee,76
Maribyrnong,77
McEwen,78
Melbourne,79
Menzies,80
Monash,81
Nicholls,82
Scullin,83
Wannon,84
Wills,85
Blair,86
Bonner,87
Bowman,88
Brisbane,89
Capricornia,90
Dawson,91
Dickson,92
Fadden,93
Fairfax,94
Fisher,95
Flynn,96
Forde,97
Griffith,98
Groom,99
Herbert,100
Hinkler,101
Kennedy,102
Leichhardt,103
Lilley,104
Longman,105
Maranoa,106
McPherson,107
Moncrieff,108
Moreton,109
Oxley,110
Petrie,111
Rankin,112
Ryan,113
Wide Bay,114
Wright,115
Adelaide,116
Barker,117
Boothby,118
Grey,119
Hindmarsh,120
Kingston,121
Makin,122
Mayo,123
Spence,124
Sturt,125
Brand,126
Burt,127
Canning,128
Cowan,129
Curtin,130
Durack,131
Forrest,132
Fremantle,133
Hasluck,134
Moore,135
O'Connor,136
Pearce,137
Perth,138
Stirling,139
Swan,140
Tangney,141
Bass,142
Braddon,143
Clark,144
Franklin,145
Lyons,146
Bean,147
Canberra,148
Fenner,149
Lingiari,150
Solomon,151
