division,gender,age_group,education,number,cell_proportion_of_division_total
Adelaide,Female,ages18to29,bachelorDegree,5210,0.040291397284004084
Adelaide,Female,ages18to29,gradDipDipCertIIIandIV,3178,0.024576978995885793
Adelaide,Female,ages18to29,highSchoolorCertIorIIorLess,8422,0.06513131438116744
Adelaide,Female,ages18to29,postgraduateDegree,1085,0.008390818820181273
Adelaide,Female,ages30to44,bachelorDegree,6550,0.05065425186376713
Adelaide,Female,ages30to44,gradDipDipCertIIIandIV,4609,0.03564357967024469
Adelaide,Female,ages30to44,highSchoolorCertIorIIorLess,3892,0.030098679122714758
Adelaide,Female,ages30to44,postgraduateDegree,2584,0.019983295697095307
Adelaide,Female,ages45to59,bachelorDegree,3200,0.024747115414359512
Adelaide,Female,ages45to59,gradDipDipCertIIIandIV,4226,0.03268165929408853
Adelaide,Female,ages45to59,highSchoolorCertIorIIorLess,5675,0.0438874624926532
Adelaide,Female,ages45to59,postgraduateDegree,1112,0.00859962260648993
Adelaide,Female,ages60plus,bachelorDegree,2114,0.016348563120611254
Adelaide,Female,ages60plus,gradDipDipCertIIIandIV,2948,0.0227982800754787
Adelaide,Female,ages60plus,highSchoolorCertIorIIorLess,10056,0.07776781018962477
Adelaide,Female,ages60plus,postgraduateDegree,670,0.005181427289881523
Adelaide,Male,ages18to29,bachelorDegree,4016,0.031057629845021188
Adelaide,Male,ages18to29,gradDipDipCertIIIandIV,3594,0.027794103999752528
Adelaide,Male,ages18to29,highSchoolorCertIorIIorLess,9412,0.07278745321248492
Adelaide,Male,ages18to29,postgraduateDegree,825,0.006380115692764562
Adelaide,Male,ages30to44,bachelorDegree,5610,0.043384786710799025
Adelaide,Male,ages30to44,gradDipDipCertIIIandIV,5318,0.041126612429238714
Adelaide,Male,ages30to44,highSchoolorCertIorIIorLess,4822,0.037290809540012994
Adelaide,Male,ages30to44,postgraduateDegree,2522,0.01950382033594209
Adelaide,Male,ages45to59,bachelorDegree,2738,0.02117425062641136
Adelaide,Male,ages45to59,gradDipDipCertIIIandIV,5078,0.03927057877316175
Adelaide,Male,ages45to59,highSchoolorCertIorIIorLess,5216,0.040337798125406006
Adelaide,Male,ages45to59,postgraduateDegree,1251,0.009674575432301172
Adelaide,Male,ages60plus,bachelorDegree,2198,0.01699817490023819
Adelaide,Male,ages60plus,gradDipDipCertIIIandIV,4083,0.03157577257400934
Adelaide,Male,ages60plus,highSchoolorCertIorIIorLess,6063,0.04688805023664429
Adelaide,Male,ages60plus,postgraduateDegree,1031,0.007973211247563956
Aston,Female,ages18to29,bachelorDegree,2523,0.02329747449097373
Aston,Female,ages18to29,gradDipDipCertIIIandIV,3001,0.027711344014035737
Aston,Female,ages18to29,highSchoolorCertIorIIorLess,5100,0.047093586961540236
Aston,Female,ages18to29,postgraduateDegree,471,0.004349231266448128
Aston,Female,ages30to44,bachelorDegree,4666,0.043086015051479756
Aston,Female,ages30to44,gradDipDipCertIIIandIV,5022,0.04637333210212845
Aston,Female,ages30to44,highSchoolorCertIorIIorLess,3643,0.03363959554919433
Aston,Female,ages30to44,postgraduateDegree,1432,0.013223140495867768
Aston,Female,ages45to59,bachelorDegree,2537,0.023426751004201486
Aston,Female,ages45to59,gradDipDipCertIIIandIV,5003,0.04619788540560506
Aston,Female,ages45to59,highSchoolorCertIorIIorLess,7040,0.06500761808024377
Aston,Female,ages45to59,postgraduateDegree,650,0.006002123828431599
Aston,Female,ages60plus,bachelorDegree,1369,0.01264139618634286
Aston,Female,ages60plus,gradDipDipCertIIIandIV,2827,0.026104621635347894
Aston,Female,ages60plus,highSchoolorCertIorIIorLess,9887,0.09129692044877419
Aston,Female,ages60plus,postgraduateDegree,242,0.0022346368715083797
Aston,Male,ages18to29,bachelorDegree,1805,0.016667436169721595
Aston,Male,ages18to29,gradDipDipCertIIIandIV,3377,0.03118334179786694
Aston,Male,ages18to29,highSchoolorCertIorIIorLess,5953,0.05497022023177432
Aston,Male,ages18to29,postgraduateDegree,277,0.0025578281545777736
Aston,Male,ages30to44,bachelorDegree,3339,0.03083244840482017
Aston,Male,ages30to44,gradDipDipCertIIIandIV,5794,0.05350200840297336
Aston,Male,ages30to44,highSchoolorCertIorIIorLess,3625,0.03347338288933007
Aston,Male,ages30to44,postgraduateDegree,1293,0.011939609400249318
Aston,Male,ages45to59,bachelorDegree,2200,0.02031488065007618
Aston,Male,ages45to59,gradDipDipCertIIIandIV,6411,0.05919940902165382
Aston,Male,ages45to59,highSchoolorCertIorIIorLess,4837,0.04466503532019022
Aston,Male,ages45to59,postgraduateDegree,905,0.008356803176508611
Aston,Male,ages60plus,bachelorDegree,1488,0.013740246548778798
Aston,Male,ages60plus,gradDipDipCertIIIandIV,5578,0.05150745648460225
Aston,Male,ages60plus,highSchoolorCertIorIIorLess,5546,0.051211967311510224
Aston,Male,ages60plus,postgraduateDegree,454,0.004192252643242994
Ballarat,Female,ages18to29,bachelorDegree,1714,0.017242593430913937
Ballarat,Female,ages18to29,gradDipDipCertIIIandIV,3039,0.030571902821789648
Ballarat,Female,ages18to29,highSchoolorCertIorIIorLess,5143,0.05173784014888587
Ballarat,Female,ages18to29,postgraduateDegree,220,0.0022131683516925706
Ballarat,Female,ages30to44,bachelorDegree,3336,0.03355968009657462
Ballarat,Female,ages30to44,gradDipDipCertIIIandIV,4983,0.050128263165836726
Ballarat,Female,ages30to44,highSchoolorCertIorIIorLess,3659,0.03680901363110507
Ballarat,Female,ages30to44,postgraduateDegree,726,0.007303455560585484
Ballarat,Female,ages45to59,bachelorDegree,2151,0.021638750565866907
Ballarat,Female,ages45to59,gradDipDipCertIIIandIV,4734,0.0476233589859665
Ballarat,Female,ages45to59,highSchoolorCertIorIIorLess,6030,0.06066093254866455
Ballarat,Female,ages45to59,postgraduateDegree,707,0.007112318293848398
Ballarat,Female,ages60plus,bachelorDegree,1632,0.016417685227101252
Ballarat,Female,ages60plus,gradDipDipCertIIIandIV,3055,0.030732860520094562
Ballarat,Female,ages60plus,highSchoolorCertIorIIorLess,10198,0.10259041295709471
Ballarat,Female,ages60plus,postgraduateDegree,409,0.00411448116291937
Ballarat,Male,ages18to29,bachelorDegree,990,0.009959257582616569
Ballarat,Male,ages18to29,gradDipDipCertIIIandIV,3528,0.03549117247623359
Ballarat,Male,ages18to29,highSchoolorCertIorIIorLess,5484,0.05516825109400936
Ballarat,Male,ages18to29,postgraduateDegree,145,0.0014586791408882852
Ballarat,Male,ages30to44,bachelorDegree,2061,0.020733363512901764
Ballarat,Male,ages30to44,gradDipDipCertIIIandIV,5396,0.05428298375333233
Ballarat,Male,ages30to44,highSchoolorCertIorIIorLess,3645,0.03666817564508828
Ballarat,Male,ages30to44,postgraduateDegree,562,0.005653639152960113
Ballarat,Male,ages45to59,bachelorDegree,1471,0.014798048387908052
Ballarat,Male,ages45to59,gradDipDipCertIIIandIV,5687,0.057210401891252954
Ballarat,Male,ages45to59,highSchoolorCertIorIIorLess,4713,0.0474121020069413
Ballarat,Male,ages45to59,postgraduateDegree,589,0.005925255268849655
Ballarat,Male,ages60plus,bachelorDegree,1272,0.012796137015240683
Ballarat,Male,ages60plus,gradDipDipCertIIIandIV,5281,0.05312610029676575
Ballarat,Male,ages60plus,highSchoolorCertIorIIorLess,6308,0.06345757255671244
Ballarat,Male,ages60plus,postgraduateDegree,537,0.005402142749358684
Banks,Female,ages18to29,bachelorDegree,3240,0.030078259174333218
Banks,Female,ages18to29,gradDipDipCertIIIandIV,2386,0.022150224194431807
Banks,Female,ages18to29,highSchoolorCertIorIIorLess,5345,0.0496198442243244
Banks,Female,ages18to29,postgraduateDegree,907,0.008420055886148218
Banks,Female,ages30to44,bachelorDegree,4938,0.04584149500088192
Banks,Female,ages30to44,gradDipDipCertIIIandIV,4162,0.03863756626036261
Banks,Female,ages30to44,highSchoolorCertIorIIorLess,3930,0.03648381436886715
Banks,Female,ages30to44,postgraduateDegree,2028,0.018826762223934496
Banks,Female,ages45to59,bachelorDegree,2809,0.02607710803108087
Banks,Female,ages45to59,gradDipDipCertIIIandIV,3995,0.03708723623501889
Banks,Female,ages45to59,highSchoolorCertIorIIorLess,6244,0.05796563280386933
Banks,Female,ages45to59,postgraduateDegree,857,0.007955885219877645
Banks,Female,ages60plus,bachelorDegree,1384,0.012848244042369499
