first_pref,age_group,gender,education,division,state,ALP_supporter
LNP,ages45to59,Female,bachelorDegree,Macquarie,NSW,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Lindsay,NSW,1
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Hume,NSW,1
Other,ages18to29,Male,gradDipDipCertIIIandIV,Hunter,NSW,0
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Shortland,NSW,1
Unsure,ages30to44,Female,highSchoolorCertIorIIorLess,Eden-Monaro,NSW,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Eden-Monaro,NSW,0
ALP,ages45to59,Male,gradDipDipCertIIIandIV,Lyne,NSW,1
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Cowper,NSW,0
Unsure,ages30to44,Female,gradDipDipCertIIIandIV,Cowper,NSW,0
GRN,ages30to44,Female,highSchoolorCertIorIIorLess,Page,NSW,0
LNP,ages18to29,Male,postgraduateDegree,Kingsford Smith,NSW,0
LNP,ages30to44,Male,gradDipDipCertIIIandIV,Hughes,NSW,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Mitchell,NSW,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Bennelong,NSW,0
LNP,ages60plus,Female,highSchoolorCertIorIIorLess,Banks,NSW,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Barton,NSW,0
Other,ages18to29,Female,postgraduateDegree,Warringah,NSW,0
ALP,ages60plus,Male,gradDipDipCertIIIandIV,Bendigo,VIC,1
LNP,ages60plus,Male,highSchoolorCertIorIIorLess,Corangamite,VIC,0
LNP,ages60plus,Male,highSchoolorCertIorIIorLess,Nicholls,VIC,0
LNP,ages18to29,Female,gradDipDipCertIIIandIV,La Trobe,VIC,0
ALP,ages45to59,Female,postgraduateDegree,Holt,VIC,1
ALP,ages30to44,Female,gradDipDipCertIIIandIV,Lyons,TAS,1
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Lyons,TAS,1
LNP,ages45to59,Female,bachelorDegree,Jagajaga,VIC,0
LNP,ages45to59,Male,postgraduateDegree,Hotham,VIC,0
LNP,ages45to59,Female,bachelorDegree,Macnamara,VIC,0
ALP,ages45to59,Male,gradDipDipCertIIIandIV,Monash,VIC,1
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Dunkley,VIC,1
Unsure,ages45to59,Female,highSchoolorCertIorIIorLess,Kooyong,VIC,0
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Chisholm,VIC,0
ALP,ages45to59,Female,bachelorDegree,Kooyong,VIC,1
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Deakin,VIC,1
Other,ages45to59,Female,gradDipDipCertIIIandIV,Flynn,QLD,0
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Griffith,QLD,1
ALP,ages45to59,Male,postgraduateDegree,Oxley,QLD,1
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Blair,QLD,0
ALP,ages30to44,Male,highSchoolorCertIorIIorLess,Ryan,QLD,1
