state,division,gender,age_group,education,first_pref,ALP_supporter
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,ALP,1
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,ALP,1
ACT,Bean,Female,ages18to29,bachelorDegree,LNP,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,ALP,1
ACT,Bean,Female,ages18to29,bachelorDegree,Other,0
ACT,Bean,Female,ages18to29,bachelorDegree,LNP,0
ACT,Bean,Female,ages18to29,bachelorDegree,LNP,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,ALP,1
ACT,Bean,Female,ages18to29,bachelorDegree,ALP,1
ACT,Bean,Female,ages18to29,bachelorDegree,ALP,1
ACT,Bean,Female,ages18to29,bachelorDegree,ALP,1
ACT,Bean,Female,ages18to29,bachelorDegree,LNP,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,ALP,1
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,ALP,1
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,LNP,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,ALP,1
ACT,Bean,Female,ages18to29,bachelorDegree,LNP,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,Other,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,LNP,0
ACT,Bean,Female,ages18to29,bachelorDegree,ALP,1
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,bachelorDegree,Other,0
ACT,Bean,Female,ages18to29,bachelorDegree,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,Other,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,LNP,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,ALP,1
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,ALP,1
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,ALP,1
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,LNP,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,ALP,1
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,Other,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages18to29,gradDipDipCertIIIandIV,ALP,1
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,ALP,1
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,LNP,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,ALP,1
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,LNP,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,Other,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages18to29,highSchoolorCertIorIIorLess,ALP,1
ACT,Bean,Female,ages18to29,postgraduateDegree,GRN,0
ACT,Bean,Female,ages18to29,postgraduateDegree,ALP,1
ACT,Bean,Female,ages18to29,postgraduateDegree,ALP,1
ACT,Bean,Female,ages18to29,postgraduateDegree,ALP,1
ACT,Bean,Female,ages18to29,postgraduateDegree,GRN,0
ACT,Bean,Female,ages18to29,postgraduateDegree,ALP,1
ACT,Bean,Female,ages18to29,postgraduateDegree,ALP,1
ACT,Bean,Female,ages18to29,postgraduateDegree,GRN,0
ACT,Bean,Female,ages18to29,postgraduateDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,Other,0
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,Other,0
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,ALP,1
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,bachelorDegree,GRN,0
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,LNP,0
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,LNP,0
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,ALP,1
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,LNP,0
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,ALP,1
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,ALP,1
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,ALP,1
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,LNP,0
ACT,Bean,Female,ages30to44,gradDipDipCertIIIandIV,GRN,0
ACT,Bean,Female,ages30to44,highSchoolorCertIorIIorLess,LNP,0
ACT,Bean,Female,ages30to44,highSchoolorCertIorIIorLess,LNP,0
ACT,Bean,Female,ages30to44,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages30to44,highSchoolorCertIorIIorLess,GRN,0
ACT,Bean,Female,ages30to44,highSchoolorCertIorIIorLess,ALP,1
ACT,Bean,Female,ages30to44,highSchoolorCertIorIIorLess,LNP,0
ACT,Bean,Female,ages30to44,highSchoolorCertIorIIorLess,Other,0
ACT,Bean,Female,ages30to44,highSchoolorCertIorIIorLess,GRN,0
